n,r,n2
"{""id"":""/c/en/baseball""}","{""reason"":""Kinds of ""hobby"" : ""baseball"""",""context"":""all"",""weight"":""1L""}","{""id"":""/c/en/hobby""}"
"{""id"":""/c/en/baseball""}","{""reason"":""None"",""context"":""all"",""weight"":""0.5L""}","{""id"":""/c/en/baseball_player""}"
"{""id"":""/c/en/baseball""}","{""reason"":""None"",""context"":""all"",""weight"":""0.5L""}","{""id"":""/c/en/music_group""}"
"{""id"":""/c/en/baseball""}","{""reason"":""None"",""context"":""all"",""weight"":""0.5L""}","{""id"":""/c/en/organization""}"
"{""id"":""/c/en/baseball""}","{""reason"":""None"",""context"":""all"",""weight"":""0.5L""}","{""id"":""/c/en/organisation""}"
"{""id"":""/c/en/baseball""}","{""reason"":""None"",""context"":""all"",""weight"":""0.5L""}","{""id"":""/c/en/band""}"
"{""id"":""/c/en/baseball""}","{""reason"":""None"",""context"":""all"",""weight"":""0.5L""}","{""id"":""/c/en/person""}"
"{""id"":""/c/en/baseball""}","{""reason"":""None"",""context"":""all"",""weight"":""0.5L""}","{""id"":""/c/en/athlete""}"
"{""id"":""/c/en/baseball""}","{""reason"":""None"",""context"":""all"",""weight"":""0.5L""}","{""id"":""/c/en/gridiron_football_player""}"
"{""id"":""/c/en/baseball""}","{""reason"":""None"",""context"":""all"",""weight"":""0.5L""}","{""id"":""/c/en/activity""}"
"{""id"":""/c/en/baseball""}","{""reason"":""None"",""context"":""all"",""weight"":""0.5L""}","{""id"":""/c/en/sport""}"
"{""id"":""/c/en/baseball""}","{""reason"":""""baseball"" is a kind of ""C++""."",""context"":""all"",""weight"":""1L""}","{""id"":""/c/en/c++""}"
"{""id"":""/c/en/baseball""}","{""reason"":""""baseball"" is a kind of ""Perl""."",""context"":""all"",""weight"":""1L""}","{""id"":""/c/en/perl""}"
"{""id"":""/c/en/baseball""}","{""reason"":""""baseball"" is a kind of ""firewood""."",""context"":""all"",""weight"":""1L""}","{""id"":""/c/en/firewood""}"
"{""id"":""/c/en/baseball""}","{""reason"":""""baseball"" is a kind of ""speech""."",""context"":""all"",""weight"":""1L""}","{""id"":""/c/en/speech""}"
"{""id"":""/c/en/baseball""}","{""reason"":""""baseball"" was ""better before all the players"""",""context"":""all"",""weight"":""1L""}","{""id"":""/c/en/good_before_all_player""}"
"{""id"":""/c/en/baseball""}","{""reason"":""""baseball"" is ""not played professionally"""",""context"":""all"",""weight"":""1L""}","{""id"":""/c/en/not_play_professionally""}"
"{""id"":""/c/en/baseball""}","{""reason"":""""baseball"" is ""a popular sport"""",""context"":""all"",""weight"":""1L""}","{""id"":""/c/en/popular_sport""}"
"{""id"":""/c/en/baseball""}","{""reason"":""""Baseball"" is ""a game"""",""context"":""all"",""weight"":""1L""}","{""id"":""/c/en/game""}"
"{""id"":""/c/en/baseball""}","{""reason"":""None"",""context"":""all"",""weight"":""0.5L""}","{""id"":""/c/en/ml_b.com""}"
"{""id"":""/c/en/baseball""}","{""reason"":""None"",""context"":""all"",""weight"":""0.5L""}","{""id"":""/c/en/fangraphs""}"
"{""id"":""/c/en/baseball""}","{""reason"":""None"",""context"":""all"",""weight"":""0.5L""}","{""id"":""/c/en/seattle_mariner_hall_of_fame""}"
"{""id"":""/c/en/baseball""}","{""reason"":""None"",""context"":""all"",""weight"":""0.5L""}","{""id"":""/c/en/baseball-reference.com""}"
