"22.04 10:54:07,875|" start hat status: 


Alle Clients werden gestartet. 
"22.04 10:54:07,939|" start hat status: Ping Server: pong. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client25 startet mit: <0.79.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client24 startet mit: <0.80.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client23 startet mit: <0.81.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client22 startet mit: <0.82.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client21 startet mit: <0.83.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client20 startet mit: <0.84.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client19 startet mit: <0.86.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client18 startet mit: <0.87.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client17 startet mit: <0.88.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client16 startet mit: <0.89.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client15 startet mit: <0.90.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client14 startet mit: <0.91.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client13 startet mit: <0.92.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client12 startet mit: <0.93.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client11 startet mit: <0.95.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client10 startet mit: <0.96.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client9 startet mit: <0.97.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client8 startet mit: <0.99.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client7 startet mit: <0.100.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client6 startet mit: <0.102.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client5 startet mit: <0.103.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client4 startet mit: <0.104.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client3 startet mit: <0.106.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client2 startet mit: <0.107.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Client client1 startet mit: <0.108.0>. 
"22.04 10:54:07,954|" start_n_clients hat status: Alle Clients sind gestartet: [<0.108.0>,<0.107.0>,<0.106.0>,<0.104.0>,
                              <0.103.0>,<0.102.0>,<0.100.0>,<0.99.0>,<0.97.0>,
                              <0.96.0>,<0.95.0>,<0.93.0>,<0.92.0>,<0.91.0>,
                              <0.90.0>,<0.89.0>,<0.88.0>,<0.87.0>,<0.86.0>,
                              <0.84.0>,<0.83.0>,<0.82.0>,<0.81.0>,<0.80.0>,
                              <0.79.0>]. 
"22.04 10:54:32,508|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:32,556|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
