"22.04 10:54:03,010|" initCMEM hat status: input: RemTime: 4000, Datei: 'cmem.log'. 
"22.04 10:54:32,494|" getClientNNr hat status: input: ClientId: <7602.81.0>. 
"22.04 10:54:32,494|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:32,494|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:32,494|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:32,510|" updateClient hat status: input: ClientId: <7602.81.0>, NNr: 26. 
"22.04 10:54:32,510|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:32,524|" getClientNNr hat status: input: ClientId: <7602.83.0>. 
"22.04 10:54:32,524|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:32,524|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:32,524|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:32,556|" updateClient hat status: input: ClientId: <7602.83.0>, NNr: 26. 
"22.04 10:54:32,556|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:32,572|" getClientNNr hat status: input: ClientId: <7602.80.0>. 
"22.04 10:54:32,572|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:32,572|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:32,572|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:32,603|" updateClient hat status: input: ClientId: <7602.80.0>, NNr: 26. 
"22.04 10:54:32,603|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:32,603|" getClientNNr hat status: input: ClientId: <7602.87.0>. 
"22.04 10:54:32,603|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:32,603|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:32,603|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:32,635|" updateClient hat status: input: ClientId: <7602.87.0>, NNr: 26. 
"22.04 10:54:32,635|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:32,665|" getClientNNr hat status: input: ClientId: <7602.84.0>. 
"22.04 10:54:32,665|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:32,665|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:32,665|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:32,697|" updateClient hat status: input: ClientId: <7602.84.0>, NNr: 26. 
"22.04 10:54:32,697|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:32,744|" getClientNNr hat status: input: ClientId: <7602.79.0>. 
"22.04 10:54:32,744|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:32,744|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:32,744|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:32,774|" updateClient hat status: input: ClientId: <7602.79.0>, NNr: 26. 
"22.04 10:54:32,774|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:32,790|" getClientNNr hat status: input: ClientId: <7602.82.0>. 
"22.04 10:54:32,790|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:32,790|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:32,790|" getClientNNr hat status: ExpectedNNR Result: 1. 
