"22.04 10:54:07,954|" loop_redakteur hat status: start. 
"22.04 10:54:07,970|" getmsgid hat status: started. 
"22.04 10:54:08,000|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:12,010|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:12,010|" handle_new_id hat status: 23te Nachricht erstellt. 
"22.04 10:54:12,010|" write_new_message hat status: started. 
"22.04 10:54:12,010|" drop_message hat status: started. 
"22.04 10:54:12,026|" loop_redakteur hat status: start. 
"22.04 10:54:12,026|" getmsgid hat status: started. 
"22.04 10:54:12,790|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:16,800|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:16,800|" handle_new_id hat status: 48te Nachricht erstellt. 
"22.04 10:54:16,800|" write_new_message hat status: started. 
"22.04 10:54:16,800|" drop_message hat status: started. 
"22.04 10:54:16,800|" loop_redakteur hat status: start. 
"22.04 10:54:16,800|" getmsgid hat status: started. 
"22.04 10:54:17,173|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:21,183|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:21,183|" handle_new_id hat status: 71te Nachricht erstellt. 
"22.04 10:54:21,183|" write_new_message hat status: started. 
"22.04 10:54:21,183|" drop_message hat status: started. 
"22.04 10:54:21,183|" loop_redakteur hat status: start. 
"22.04 10:54:21,183|" getmsgid hat status: started. 
"22.04 10:54:21,292|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:25,302|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:25,302|" handle_new_id hat status: 96te Nachricht erstellt. 
"22.04 10:54:25,302|" write_new_message hat status: started. 
"22.04 10:54:25,302|" drop_message hat status: started. 
"22.04 10:54:25,302|" loop_redakteur hat status: start. 
"22.04 10:54:25,302|" getmsgid hat status: started. 
"22.04 10:54:25,347|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:29,358|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:29,358|" handle_new_id hat status: 121te Nachricht erstellt. 
"22.04 10:54:29,358|" write_new_message hat status: started. 
"22.04 10:54:29,358|" drop_message hat status: started. 
"22.04 10:54:29,358|" loop_redakteur hat status: start. 
"22.04 10:54:29,358|" getmsgid hat status: started. 
"22.04 10:54:29,403|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:33,413|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:33,413|" loop_redakteur hat status: Wechsel zu Leser, Nachrichtnummer: 146 'vergessen' zu senden. 
"22.04 10:54:33,413|" calcNewIntervall hat status: started. 
"22.04 10:54:33,413|" calcNewIntervall hat status: New: 3. 
"22.04 10:54:33,413|" calcNewIntervall hat status: Result: 3. 
"22.04 10:54:33,413|" loop_leser hat status: start. 
"22.04 10:54:33,413|" getmessage hat status: started. 
"22.04 10:54:33,991|" loop_leser hat status: Future: true [68,105,102,102,101,114,101,110,122,58,32,
              [123,["0",44,"0",44,"-1000"],125]]// Received MessageNummer: 26, Termi: true. 
"22.04 10:54:33,991|" loop_leser hat status: Wechsel zu Redakteur. 
"22.04 10:54:33,991|" loop_redakteur hat status: start. 
"22.04 10:54:33,991|" getmsgid hat status: started. 
"22.04 10:54:34,724|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:34,740|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:34,740|" handle_new_id hat status: 205te Nachricht erstellt. 
"22.04 10:54:34,740|" write_new_message hat status: started. 
"22.04 10:54:34,740|" drop_message hat status: started. 
"22.04 10:54:34,740|" loop_redakteur hat status: start. 
"22.04 10:54:34,740|" getmsgid hat status: started. 
"22.04 10:54:35,425|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:35,441|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:35,441|" handle_new_id hat status: 228te Nachricht erstellt. 
"22.04 10:54:35,441|" write_new_message hat status: started. 
"22.04 10:54:35,441|" drop_message hat status: started. 
"22.04 10:54:35,441|" loop_redakteur hat status: start. 
"22.04 10:54:35,441|" getmsgid hat status: started. 
"22.04 10:54:36,189|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:36,206|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:36,206|" handle_new_id hat status: 249te Nachricht erstellt. 
"22.04 10:54:36,206|" write_new_message hat status: started. 
"22.04 10:54:36,206|" drop_message hat status: started. 
"22.04 10:54:36,206|" loop_redakteur hat status: start. 
"22.04 10:54:36,206|" getmsgid hat status: started. 
"22.04 10:54:36,907|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:36,923|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:36,923|" handle_new_id hat status: 269te Nachricht erstellt. 
"22.04 10:54:36,923|" write_new_message hat status: started. 
"22.04 10:54:36,923|" drop_message hat status: started. 
"22.04 10:54:36,923|" loop_redakteur hat status: start. 
"22.04 10:54:36,923|" getmsgid hat status: started. 
"22.04 10:54:37,548|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:37,562|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:37,562|" handle_new_id hat status: 292te Nachricht erstellt. 
"22.04 10:54:37,562|" write_new_message hat status: started. 
"22.04 10:54:37,562|" drop_message hat status: started. 
"22.04 10:54:37,562|" loop_redakteur hat status: start. 
"22.04 10:54:37,562|" getmsgid hat status: started. 
"22.04 10:54:38,499|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:38,515|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:38,515|" loop_redakteur hat status: Wechsel zu Leser, Nachrichtnummer: 314 'vergessen' zu senden. 
"22.04 10:54:38,515|" calcNewIntervall hat status: started. 
"22.04 10:54:38,515|" calcNewIntervall hat status: New: 0. 
"22.04 10:54:38,515|" calcNewIntervall hat status: Result: 2. 
"22.04 10:54:38,515|" loop_leser hat status: start. 
"22.04 10:54:38,515|" getmessage hat status: started. 
"22.04 10:54:39,342|" loop_leser hat status: Future: true [68,105,102,102,101,114,101,110,122,58,32,
